id_libro,autor,publicacion,titulo,num_libros,imagen_libro
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",272,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",491,https://images.gr-assets.com/books/1474154022m/3.jpg
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",226,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,Harper Lee,1960,To Kill a Mockingbird,487,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,F. Scott Fitzgerald,1925,The Great Gatsby,1356,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,John Green,2012,The Fault in Our Stars,226,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,J.R.R. Tolkien,1937,The Hobbit,969,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,J.D. Salinger,1951,The Catcher in the Rye,360,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,Dan Brown,2e3,"Angels & Demons  (Robert Langdon, #1)",311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,Jane Austen,1813,Pride and Prejudice,3455,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,Khaled Hosseini,2003,The Kite Runner,283,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,Veronica Roth,2011,"Divergent (Divergent, #1)",210,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,995,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,George Orwell,1945,Animal Farm,896,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,710,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",274,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",201,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",376,https://images.gr-assets.com/books/1499277281m/5.jpg
19,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",566,https://images.gr-assets.com/books/1298411339m/34.jpg
20,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",239,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",307,https://images.gr-assets.com/books/1387141547m/2.jpg
22,Alice Sebold,2002,The Lovely Bones,183,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",398,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,"J.K. Rowling, Mary GrandPré",2e3,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",332,https://images.gr-assets.com/books/1361482611m/6.jpg
25,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",263,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",350,https://images.gr-assets.com/books/1303252999m/968.jpg
27,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",275,https://images.gr-assets.com/books/1361039191m/1.jpg
28,William Golding,1954,Lord of the Flies,458,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,1937,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,Gillian Flynn,2012,Gone Girl,196,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,Kathryn Stockett,2009,The Help,183,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,John Steinbeck,1937,Of Mice and Men,373,https://images.gr-assets.com/books/1437235233m/890.jpg
33,Arthur Golden,1997,Memoirs of a Geisha,220,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",169,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,458,https://images.gr-assets.com/books/1483412266m/865.jpg
36,Lois Lowry,1993,"The Giver (The Giver, #1)",192,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",474,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,Audrey Niffenegger,2003,The Time Traveler's Wife,167,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",101,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",185,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",159,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,Louisa May Alcott,1868,"Little Women (Little Women, #1)",1707,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,2568,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",190,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,Yann Martel,2001,Life of Pi,264,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,Sara Gruen,2006,Water for Elephants,128,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,Markus Zusak,2005,The Book Thief,251,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,Ray Bradbury,1953,Fahrenheit 451,507,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",194,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,Shel Silverstein,1974,Where the Sidewalk Ends,45,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",178,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",185,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",217,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",257,https://images.gr-assets.com/books/1327656754m/11.jpg
55,Aldous Huxley,1932,Brave New World,515,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",183,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,Sue Monk Kidd,2001,The Secret Life of Bees,125,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,2277,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,180,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,183,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,Paula Hawkins,2015,The Girl on the Train,14,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",287,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,2498,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,Jodi Picoult,2004,My Sister's Keeper,125,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,241,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,Margaret Mitchell,1936,Gone with the Wind,409,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,Khaled Hosseini,2007,A Thousand Splendid Suns,197,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,128,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,Veronica Roth,2012,"Insurgent (Divergent, #2)",164,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",224,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,2618,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,Stephen King,1977,The Shining (The Shining #1),289,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,Stephenie Meyer,2008,"The Host (The Host, #1)",161,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,John Green,2005,Looking for Alaska,187,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",193,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,1969,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",138,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",129,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,1703,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,1708,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,Jeannette Walls,2005,The Glass Castle,92,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,Jon Krakauer,1996,Into the Wild,108,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,525,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",176,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,Shel Silverstein,1964,The Giving Tree,81,https://images.gr-assets.com/books/1174210942m/370493.jpg
