Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Wolfsburg;Ashkan Dejagah;AM;C;AM(C);27;bis 30;181;77;23.50355606;normal;1;7.29;5;3;2;1;-;1;-;-;-;-;1;2;1;3;-;2;3;-;2;26;73.1;2;2;-
Wolfsburg;Ashkan Dejagah;AM;C;AM(C);27;bis 30;181;77;23.50355606;normal;1;7.29;5;3;2;1;-;1;-;-;-;-;1;2;1;3;-;2;3;-;2;26;73.1;2;2;-
Nürnberg;Marcos Antonio;D;;D;30;bis 30;187;87;24.8791787;normal;1;5.19;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;90;-;2;-
Wolfsburg;Ashkan Dejagah;FW;;FW;27;bis 30;181;77;23.50355606;normal;1;7.29;5;3;2;1;-;1;-;-;-;-;1;2;1;3;-;2;3;-;2;26;73.1;2;2;-
Düsseldorf;Christian Weber;M;;M;29;bis 30;175;72;23.51020408;normal;1;6.57;2;2;-;-;2;1;1;-;-;-;-;1;1;1;-;-;-;-;1;35;85.7;1;4;-
Freiburg;Sebastian Kerk;M;;M;19;bis 20;185;75;21.9138057;normal;1;6.1;2;-;1;-;1;3;-;-;-;-;3;-;-;1;1;3;-;-;-;28;82.1;-;1;-
Fürth;Sebastian Tyrala;M;;M;25;bis 26;172;78;26.36560303;overweight;1;6.12;3;-;4;-;-;-;-;-;-;-;1;2;-;2;-;2;2;-;2;9;88.9;-;-;-
Wolfsburg;Ashkan Dejagah;AM;L;AM(L);27;bis 30;181;77;23.50355606;normal;1;7.29;5;3;2;1;-;1;-;-;-;-;1;2;1;3;-;2;3;-;2;26;73.1;2;2;-
Wolfsburg;Ashkan Dejagah;AM;R;AM(R);27;bis 30;181;77;23.50355606;normal;1;7.29;5;3;2;1;-;1;-;-;-;-;1;2;1;3;-;2;3;-;2;26;73.1;2;2;-
Frankfurt;Marc-Oliver Kempf;D;;D;18;bis 20;185;82;23.95909423;normal;2;6.63;1.5;5;1;0.5;4;1;-;-;-;-;1;0.5;0.5;0.5;-;0.5;0.5;-;0.5;34;83.8;-;2.5;-
Hoffenheim;Pelle Jensen;D;;D;21;bis 26;193;85;22.81940455;normal;2;6.44;1;2;1.5;1.5;3.5;1;0.5;-;-;-;-;-;-;0.5;-;-;-;-;-;54.5;92.7;-;5.5;-
Fürth;Djiby Fall;FW;;FW;28;bis 30;187;75;21.44756785;normal;2;5.85;1;-;2;-;-;1;-;-;-;-;2;0.5;-;2;1;1.5;2;-;0.5;11.5;82.6;-;-;-
Hamburg;Jaroslav Drobny;GK;;GK;33;bis 35;192;90;24.4140625;normal;2;7.21;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27.5;34.5;-;6;-
Leverkusen;Michael Rensing;GK;;GK;29;bis 30;190;92;25.48476454;overweight;2;6.13;-;-;-;-;1;-;-;-;-;-;-;-;-;0.5;-;-;-;-;-;15.5;74.2;-;4;-
Stuttgart;Felipe Lopes;D;C;D(C);25;bis 26;188;79;22.35174287;normal;3;7.27;4.3;4.3;1.3;2;4.3;0.7;1.7;-;-;-;1;-;0.3;0.7;-;1;-;-;-;61.7;90.3;-;14.3;-
Mainz;Heinz Müller;GK;;GK;35;bis 35;196;94;24.46897126;normal;3;5.49;0.3;-;-;-;1;0.3;-;1;-;-;-;-;-;-;-;-;-;-;-;29.7;71.9;-;11;-
Dortmund;Mitchell Langerak;GK;;GK;24;bis 26;192;81;21.97265625;normal;3;7.09;0.3;-;-;-;1.7;0.3;-;-;-;-;-;-;-;0.3;-;-;-;-;-;16.7;54;-;5.7;-
Bayern;Tom Starke;GK;;GK;32;bis 35;194;91;24.17897757;normal;3;7.6;-;-;-;-;-;-;-;-;-;-;-;-;-;0.3;-;-;-;-;-;18.3;65.5;-;4;-
Augsburg;Ronny Philp;D;;D;24;bis 26;183;78;23.29122996;normal;4;6.8;2;2.5;0.8;0.3;1;0.8;-;-;-;-;-;0.3;0.8;1.8;-;0.3;0.8;-;0.3;21.3;83.5;1.3;0.3;-
Hamburg;Zhi Gin Lam;D;;D;22;bis 26;175;67;21.87755102;normal;4;6.89;2.8;3.3;2;-;1.5;1.3;-;-;-;-;0.5;1.3;1.5;1.3;-;0.5;0.8;-;1.3;37.3;84.6;-;1.3;-
Bremen;Tom Trybull;DM;C;DM(C);20;bis 20;181;72;21.97735112;normal;4;6.7;2.8;3;1.3;-;1;1;0.3;-;-;-;0.3;0.5;0.3;1;-;1.5;0.5;-;0.5;54.3;80.6;-;2.3;-
Bremen;Felix Kroos;DM;C;DM(C);22;bis 26;184;70;20.6758034;normal;5;6.58;1.6;2.4;1.8;-;1.4;0.8;0.4;-;-;-;0.2;0.8;0.6;1.4;-;0.8;0.2;-;0.8;23.8;84;-;2;-
Augsburg;Simon Jentzsch;GK;;GK;37;älter als 36;196;97;25.24989588;overweight;5;5.91;-;-;-;-;-;-;-;-;-;-;-;-;0.2;-;-;-;-;-;-;20.6;60.2;-;6.4;-
Fürth;József Varga;M;C;M(C);25;bis 26;175;73;23.83673469;normal;6;6.07;1;2;1.8;-;0.7;1.3;0.3;-;-;-;0.3;0.5;0.7;0.8;-;1.5;0.8;-;0.5;20.8;70.4;-;0.7;-
Mainz;Niko Bungert;D;C;D(C);26;bis 30;188;75;21.22000905;normal;8;6.89;1.6;2.3;0.6;0.9;7;0.9;0.6;-;-;-;0.6;0.3;-;1.4;-;0.3;0.1;-;0.3;32.4;79.9;0.4;4.1;0.1
Wolfsburg;Emanuel Pogatetz;D;C;D(C);30;bis 30;191;90;24.67037636;normal;8;6.69;1.5;0.9;1.3;1.1;8.9;0.5;0.3;1;-;-;0.5;-;0.4;0.5;-;0.1;0.1;-;-;38.6;74.8;-;4.5;-
Frankfurt;Oka Nikolov;GK;;GK;39;älter als 36;187;86;24.59321113;normal;8;6.87;-;-;-;-;0.8;-;-;-;-;-;-;-;0.1;-;-;-;-;-;-;20.1;57.8;-;5.4;-
Mainz;Niko Bungert;D;R;D(R);26;bis 30;188;75;21.22000905;normal;8;6.89;1.6;2.3;0.6;0.9;7;0.9;0.6;-;-;-;0.6;0.3;-;1.4;-;0.3;0.1;-;0.3;32.4;79.9;0.4;4.1;0.1
Hoffenheim;Heurelho Gomes;GK;;GK;32;bis 35;191;91;24.94449165;normal;9;7.08;-;-;-;-;1.7;-;-;-;-;-;0.1;-;0.2;0.2;-;-;-;-;-;21.1;54.2;-;6.4;-
Hoffenheim;Tim Wiese;GK;;GK;31;bis 35;193;91;24.43018605;normal;10;6.02;0.1;-;-;-;0.6;0.1;-;-;-;-;-;0.1;-;0.3;-;-;0.1;-;0.1;19.4;60.8;-;6.3;-
Augsburg;Sebastian Langkamp;D;C;D(C);25;bis 26;190;85;23.54570637;normal;11;7.05;3.2;1.9;1.1;0.6;8.8;0.5;0.7;-;-;-;0.3;0.1;0.3;1.5;-;0.2;0.1;-;0.1;39.1;82.8;-;4.6;-
Bayern;Holger Badstuber;D;C;D(C);24;bis 26;190;83;22.99168975;normal;12;7.19;1.7;1;0.8;0.4;1.9;0.5;0.2;-;-;1;0.4;0.8;0.4;0.7;-;0.5;0.1;1;0.8;59;92.9;0.3;5.3;-
Hoffenheim;David Abraham;D;C;D(C);27;bis 30;188;85;24.04934359;normal;12;7.01;1.7;2.7;1.3;0.8;6.5;0.7;0.7;-;-;-;0.4;0.3;0.3;1.1;-;0.1;0.3;-;0.3;45.4;76.5;-;6.1;-
Augsburg;Alexander Manninger;GK;;GK;36;älter als 36;189;85;23.79552644;normal;12;6.98;-;-;-;-;1.1;0.1;-;-;-;-;-;-;-;0.2;-;-;-;-;-;17.8;65.3;-;7.8;-
Bayern;Holger Badstuber;D;L;D(L);24;bis 26;190;83;22.99168975;normal;12;7.19;1.7;1;0.8;0.4;1.9;0.5;0.2;-;-;1;0.4;0.8;0.4;0.7;-;0.5;0.1;1;0.8;59;92.9;0.3;5.3;-
Düsseldorf;Martin Latka;D;C;D(C);28;bis 30;193;87;23.35633171;normal;13;6.71;1.7;1.8;1.1;1.1;5;0.3;1.2;1;-;-;0.7;0.1;0.5;0.5;0.1;0.2;0.2;-;0.1;33.3;84.1;-;2.9;-
Schalke;Lars Unnerstall;GK;;GK;23;bis 26;198;100;25.50760127;overweight;13;6.63;-;0.1;-;0.1;0.9;0.1;-;-;-;-;-;0.1;-;0.2;-;-;-;-;0.1;22.8;58.1;-;4;-
Schalke;Michel Bastos;AM;L;AM(L);29;bis 30;179;71;22.15910864;normal;14;7.09;1.7;0.4;1.1;0.1;0.4;1;0.1;-;4;1;2.8;1;2.1;0.7;0.4;1.8;1.1;1;1;26.8;78.9;0.4;1.1;0.2
Hannover;Johan Djourou;D;C;D(C);26;bis 30;191;87;23.84803048;normal;14;6.96;1.5;2.2;1;0.6;7.2;0.4;1.2;-;-;-;0.1;0.1;0.5;0.5;0.1;0.4;0.1;-;0.1;31.9;83.4;-;2.1;0.1
