State,City,District,School,Enrollment,Student-Teacher Ratio,Per Pupil Expenditures,Graduation Rate (%),Perc to College,10th Grade MCAS English,10th Grade MCAS Math,10th Grade MCAS Science,Avg SAT Reading,Avg SAT Writing,Avg SAT Math,Perc Scoring AP Proficiency,Nbr AP classes,Nbr Varsity Sports,Nbr Clubs
Massachusetts,Abington,Abington,Abington High School,513,14.1,10247,89.4,85,89,78,78,510,501,521,72.9,5,17,15
Massachusetts,Boston,Boston,Academy of the Pacific Rim Charter Public School,500,13.9,,86.1,94,97,92,69,472,470,489,22,,7,15
Massachusetts,Acton,Acton,Acton-Boxborough Regional High School,1955,16.8,13110,96.5,98,98,97,96,616,627,649,97.4,16,33,33
Massachusetts,Marlborough,Marlborough,Advanced Math and Science Academy Charter School,963,13.7,,92.5,94,100,97,90,,,,87,14,17,
Massachusetts,Southborough,Northborough/ Southborough,Algonquin Regional High,1446,14.2,13695,95.5,97,96,92,91,557,563,580,94.3,20,31,60
Massachusetts,Amesbury,Amesbury,Amesbury High School,609,13.7,12384,83.6,87,89,87,75,527,521,536,71.8,6,21,19
Massachusetts,Andover,Andover,Andover High School,1784,15,13263,96.8,98,98,96,87,561,555,584,80.8,15,33,42
Massachusetts,Boston,Boston,Another Course To College,210,12.2,16666,70.5,88,76,68,47,435,439,437,5.7,3,15,10
Massachusetts,Lakeville,Freetown-Lakeville,Apponequet Regional High,832,15,10920,92.4,92,89,82,86,518,515,527,79.8,8,21,12
Massachusetts,Arlington,Arlington,Arlington High,1218,15.7,12502,95.4,91,96,93,83,561,557,577,81.2,13,20,29
Massachusetts,Ashland,Ashland,Ashland High,717,14.2,11546,91.9,86,96,93,86,532,534,556,87.4,20,26,33
Massachusetts,Attleboro,Attleboro,Attleboro High,1756,15.3,11217,84.5,72,89,79,62,498,518,529,64.9,14,23,28
Massachusetts,Avon Center,Avon,Avon Middle High School,351,11,12747,84.8,81,95,70,82,463,451,472,16,3,8,13
Massachusetts,Brockton,Brockton,B B Russell Alternative School,91,5.5,12382,20.4,64,,,,,,,,0,0,6
Massachusetts,Fall River,Fall River,B M C Durfee High,2228,13.2,13284,79.2,84,71,56,53,457,444,480,28.6,14,20,25
Massachusetts,Bedford,Bedford,Bedford High School,855,11.1,15961,94.1,89,95,93,88,565,567,587,92,8,28,60
Massachusetts,Bellingham,Bellingham,Bellingham High School,685,17.1,10656,88.5,76,93,85,67,490,473,496,48.5,13,30,14
Massachusetts,Belmont,Belmont,Belmont High,1083,17.4,11609,94.8,97,99,97,96,603,605,627,95.1,16,28,59
Massachusetts,Beverly,Beverly,Beverly High School,1263,15.4,12259,88.4,93,90,82,80,528,516,525,75.6,13,29,25
Massachusetts,Billerica,Billerica,Billerica Memorial High School,1624,16,12006,86.7,84,90,87,84,513,513,544,81.7,11,27,14
Massachusetts,Canton,Blue Hills Regional Technical School,Blue Hills Regional Technical School,836,10.6,20948,93.4,75,89,78,75,429,414,449,,0,16,13
Massachusetts,Boston,Boston,Boston Arts Academy,418,9.5,16666,85.9,92,84,57,37,411,412,415,,0,0,11
Massachusetts,Dorchester,Boston Collegiate Charter,Boston Collegiate Charter School,571,12.5,12613,71.4,84,100,100,71,485,490,511,41,6,9,28
Massachusetts,Boston,Boston,Boston Community Leadership Academy,473,11.8,16666,86.6,73,71,66,36,402,396,426,16.1,6,15,8
Massachusetts,Roxbury,Boston Day and Evening Academy Charter,Boston Day and Evening Academy Charter School,347,13.1,9731,16.2,84,68,43,18,392,353,370,,0,0,0
Massachusetts,Boston,Boston,Boston International High School,342,9.9,16666,42.6,58,40,74,9,323,334,351,,3,4,5
Massachusetts,Boston,Boston,Boston Latin,2352,23.1,16666,98.7,98,100,100,98,621,613,638,76.2,23,22,111
Massachusetts,Boston,Boston,Boston Latin Academy,1680,22,16666,96,83,100,100,93,527,528,548,50.3,13,14,25
Massachusetts,Hyde Park,Boston Preparatory Charter Public,Boston Preparatory Charter Public School,359,10.3,,86.7,100,98,100,84,,,,26.7,,,
Massachusetts,Braintree,Braintree,Braintree High,1652,15.5,10927,95.9,90,94,90,86,503,522,535,83.9,14,30,29
Massachusetts,Bridgewater,Bridgewater-Raynham,Bridgewater-Raynham Regional,1571,19.4,10525,93,82,88,81,58,505,491,518,80.3,9,26,22
Massachusetts,Boston,Boston,Brighton High,1144,16,16666,59.6,1,54,43,19,370,370,399,10.1,4,15,13
Massachusetts,Dighton,Bristol County Agricultural,Bristol County Agricultural High,445,13.8,17569,98.1,69,90,90,89,469,435,470,,0,7,10
Massachusetts,Brockton,Brockton,Brockton Champion High School,183,6.4,12382,16,83,65,30,,421,391,377,,0,0,6
Massachusetts,Brockton,Brockton,Brockton High,4135,16,12382,78.5,83,78,64,52,442,434,449,59.6,18,24,40
Massachusetts,Brookline,Brookline,Brookline High,1804,11.6,17090,91.5,88,94,90,82,572,574,598,91.6,18,40,80
Massachusetts,Burlington,Burlington,Burlington High,1103,12.9,14276,94.8,88,95,93,75,524,530,539,76,19,28,40
Massachusetts,Lawrence,Lawrence,Business Management & Finance High School,467,16,13955,65.3,75,39,20,9,405,412,416,3.7,,14,17
Massachusetts,Cambridge,Cambridge,Cambridge Rindge and Latin,1616,9.4,25737,87.5,92,84,79,62,510,498,514,76.6,19,33,51
Massachusetts,Canton,Canton,Canton High,883,14.1,12916,97,95,95,90,87,505,511,554,68.3,11,28,46
Massachusetts,Carver,Carver,Carver Middle/High School,933,12.1,11521,88.9,83,87,80,59,513,512,513,77,11,17,20
Massachusetts,Boston,Boston,Charlestown High,952,13.3,16666,42.7,55,55,49,30,380,377,463,21.3,6,12,15
Massachusetts,Chelmsford,Chelmsford,Chelmsford High,1596,14.4,10550,95,91,95,93,69,528,522,561,78.4,14,25,56
Massachusetts,Chelsea,Chelsea,Chelsea High,1330,12.6,13411,56.8,67,59,54,36,420,398,453,43.9,14,11,28
Massachusetts,Roxbury,City On A Hill Charter Public,City On A Hill Charter Public School,291,15.5,,77.8,98,94,97,74,409,416,446,1.7,2,,
Massachusetts,Lynn,Lynn,Classical High,1391,19.7,13158,75.3,88,78,68,53,453,432,470,32.9,11,22,38
Massachusetts,Dorchester,Codman Academy Charter Public,Codman Academy Charter Public School,149,9.6,,43.5,95,85,73,56,393,401,410,,0,8,20
Massachusetts,Cohasset,Cohasset,Cohasset Middle/High School,711,13.4,13520,94.5,87,98,99,84,555,552,572,80.5,8,25,12
Massachusetts,Boston,Boston,Community Academy of Science and Health,377,12.6,16666,57.3,58,55,52,14,359,363,386,2.3,6,9,6
Massachusetts,Cambridge,Community Charter School of Cambridge,Community Charter School of Cambridge,330,11.7,15217,69.2,100,94,100,76,449,465,448,17.2,3,8,12
Massachusetts,Concord,Concord-Carlisle,Concord-Carlisle High,1209,13.6,18872,98,92,97,94,94,601,602,625,98.7,8,25,35
Massachusetts,Danvers,Danvers,Danvers High,1021,13.3,12626,90.6,89,94,83,86,509,517,526,75,14,32,24
Massachusetts,Dartmouth,Dartmouth,Dartmouth High,1134,14.2,10703,95.5,93,92,80,79,504,489,545,76.2,16,23,28
Massachusetts,Dedham,Dedham,Dedham High,784,12.3,14852,86.5,78,87,89,86,496,495,517,73.3,18,26,30
Massachusetts,North Dighton,Dighton-Rehoboth,Dighton-Rehoboth Regional High School,954,12.6,10416,91.7,81,96,90,74,515,513,517,84,8,16,17
Massachusetts,Fall River,Greater Fall River Regional Vocational Technical (Fall River),Diman Regional Vocational Technical High,1350,11.1,17031,95.7,62,84,74,68,434,425,454,,0,8,22
Massachusetts,Boston,Boston,Dorchester Academy,393,15.2,16666,45.7,0,59,48,13,387,380,402,2.4,0,13,28
Massachusetts,Dover,Dover,Dover-Sherborn Regional High,637,10.2,15901,95.2,99,99,99,99,591,586,604,89.4,16,28,24
Massachusetts,Dracut,Dracut,Dracut Senior High,1081,15.7,9876,89.2,92,93,83,78,495,481,497,68.5,15,25,24
Massachusetts,Duxbury,Duxbury,Duxbury High,1024,12.4,11084,98.6,96,98,97,90,558,554,563,73.2,19,18,19
Massachusetts,Boston,Boston,East Boston High,1412,15.5,16666,53,62,64,54,22,387,380,422,9.5,11,14,13
Massachusetts,East Bridgewater,East Bridgewater,East Bridgewater High,550,14.2,9989,91.3,82,94,82,70,498,506,511,62.9,9,19,12
Massachusetts,Boston,Boston,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),225,10.9,16666,100,100,86,63,27,410,422,429,3.6,6,4,10
Massachusetts,Boston,Boston,Egleston Community High School,150,17.7,16666,30.1,0,39,8,,350,346,354,,0,0,0
Massachusetts,Everett,Everett,Everett High,1809,13.3,12441,77,71,75,58,31,442,435,454,44.3,10,21,35
Massachusetts,Boston,Boston,Excel High School,660,15.3,16666,56.4,67,66,64,44,399,408,461,23.6,5,11,23
Massachusetts,Fairhaven,Fairhaven,Fairhaven High,619,12.6,11274,82.4,76,83,82,73,492,489,506,52.7,8,23,16
Massachusetts,Lynn,Lynn,Fecteau-Leary Junior/Senior High School,168,6.3,13158,19.6,84,67,20,,,,,,0,0,5
Massachusetts,Boston,Boston,Fenway High School,322,13.6,16666,82.9,85,95,84,41,426,427,431,,0,5,15
Massachusetts,Foxborough,Foxborough,Foxborough High,844,13.3,12125,96.1,89,94,87,87,529,545,554,78.7,12,22,28
Massachusetts,Foxborough,Foxborough Regional Charter,Foxborough Regional Charter School,1202,14.2,,100,100,96,88,71,558,526,539,60.9,10,9,31
Massachusetts,Framingham,Framingham,Framingham High School,2080,13.2,15675,84.6,82,86,85,82,512,510,548,85.8,21,27,21
