State,City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000",Unemployment Aug 2010 (%)
Massachusetts,Abington,16590,1,0.6,10,6,5,3,40,24.1,119,71.7,213,128.4,28,16.9,0,0,8.7
Massachusetts,Acton,20795,0,0,5,2.4,2,1,14,6.7,46,22.1,223,107.2,4,1.9,0,0,5.9
Massachusetts,Acushnet,10474,0,0,2,1.9,1,1,21,20,70,66.8,91,86.9,12,11.5,3,2.9,9.9
Massachusetts,Adams,8145,0,0,6,7.4,0,0,33,40.5,83,101.9,161,197.7,7,8.6,2,2.5,10
Massachusetts,Agawam,28353,0,0,6,2.1,7,2.5,30,10.6,80,28.2,206,72.7,39,13.8,5,1.8,8.6
Massachusetts,Amesbury,16421,0,0,6,3.7,3,1.8,37,22.5,40,24.4,241,146.8,10,6.1,3,1.8,7.9
Massachusetts,Amherst,36106,0,0,13,3.6,9,2.5,64,17.7,211,58.4,235,65.1,24,6.6,2,0.6,6.8
Massachusetts,Andover,33442,0,0,0,0,2,0.6,8,2.4,61,18.2,360,107.6,20,6,1,0.3,6.3
Massachusetts,Aquinnah,355,0,0,0,0,0,0,0,0,0,0,7,197.2,0,0,0,0,2.7
Massachusetts,Arlington,40989,0,0,3,0.7,14,3.4,38,9.3,185,45.1,441,107.6,35,8.5,16,3.9,6.1
Massachusetts,Ashburnham,6009,0,0,0,0,1,1.7,5,8.3,18,30,25,41.6,2,3.3,4,6.7,9.3
Massachusetts,Ashfield,1817,0,0,0,0,0,0,3,16.5,5,27.5,11,60.5,0,0,,,6.9
Massachusetts,Ashland,15927,0,0,3,1.9,1,0.6,16,10,56,35.2,98,61.5,9,5.7,0,0,6.6
Massachusetts,Athol,11637,0,0,7,6,3,2.6,37,31.8,109,93.7,172,147.8,10,8.6,2,1.7,12.5
Massachusetts,Attleboro,43228,0,0,8,1.9,31,7.2,104,24.1,223,51.6,662,153.1,71,16.4,9,2.1,
Massachusetts,Auburn,16298,0,0,4,2.5,13,8,,,83,50.9,393,241.1,27,16.6,8,4.9,8.5
Massachusetts,Avon,4285,0,0,0,0,2,4.7,4,9.3,23,53.7,161,375.7,11,25.7,,,9.6
Massachusetts,Ayer,7378,0,0,3,4.1,5,6.8,16,21.7,50,67.8,88,119.3,10,13.6,3,4.1,7.9
Massachusetts,Barnstable,47828,1,0.2,39,8.2,41,8.6,291,60.8,450,94.1,1105,231,83,17.4,14,2.9,6.5
Massachusetts,Barre,5455,0,0,2,3.7,2,3.7,16,29.3,21,38.5,47,86.2,4,7.3,,,9.7
Massachusetts,Becket,1803,0,0,0,0,0,0,2,11.1,26,144.2,24,133.1,0,0,,,9.7
Massachusetts,Bedford,13215,0,0,2,1.5,0,0,2,1.5,29,21.9,153,115.8,3,2.3,0,0,6
Massachusetts,Belchertown,14094,0,0,1,0.7,0,0,18,12.8,36,25.5,111,78.8,17,12.1,2,1.4,7
Massachusetts,Belmont,23252,0,0,5,2.2,8,3.4,25,10.8,96,41.3,152,65.4,15,6.5,1,0.4,5.8
Massachusetts,Berkley,6519,0,0,0,0,1,1.5,6,9.2,39,59.8,33,50.6,3,4.6,0,0,7.5
Massachusetts,Berlin,2740,0,0,0,0,0,0,0,0,1,3.6,16,58.4,1,3.6,0,0,7.4
Massachusetts,Bernardston,2234,0,0,0,0,0,0,3,13.4,7,31.3,14,62.7,3,13.4,0,0,9.8
Massachusetts,Beverly,39435,0,0,10,2.5,20,5.1,92,23.3,107,27.1,548,139,40,10.1,0,0,6.9
Massachusetts,Blackstone,9058,0,0,1,1.1,1,1.1,18,19.9,37,40.8,93,102.7,15,16.6,1,1.1,11.5
Massachusetts,Bolton,4522,0,0,0,0,0,0,2,4.4,29,64.1,31,68.6,1,2.2,2,4.4,6.3
Massachusetts,Boston,604465,62,1,237,3.9,2398,39.7,3979,65.8,3493,57.8,16531,273.5,2405,39.8,,,8.3
Massachusetts,Bourne,19048,0,0,5,2.6,10,5.2,48,25.2,258,135.4,313,164.3,9,4.7,3,1.6,8.6
Massachusetts,Boxborough,5124,0,0,2,3.9,2,3.9,7,13.7,14,27.3,34,66.4,4,7.8,1,2,6
Massachusetts,Boxford,8088,0,0,0,0,0,0,0,0,9,11.1,54,66.8,2,2.5,0,0,5.5
Massachusetts,Boylston,4298,0,0,0,0,0,0,2,4.7,10,23.3,21,48.9,1,2.3,0,0,8.4
Massachusetts,Braintree,34495,0,0,5,1.4,6,1.7,34,9.9,76,22,806,233.7,30,8.7,1,0.3,7.9
Massachusetts,Brewster,10009,0,0,0,0,0,0,16,16,35,35,87,86.9,7,7,2,2,5.8
Massachusetts,Bridgewater,25546,0,0,4,1.6,5,2,42,16.4,59,23.1,166,65,11,4.3,2,0.8,8.4
Massachusetts,Brookline,54527,0,0,3,0.6,30,5.5,,,156,28.6,683,125.3,22,4,2,0.4,4.9
Massachusetts,Buckland,1990,0,0,1,5,0,0,6,30.2,4,20.1,13,65.3,0,0,0,0,5
Massachusetts,Burlington,25319,0,0,1,0.4,5,2,17,6.7,191,75.4,470,185.6,27,10.7,1,0.4,6.2
Massachusetts,Cambridge,101362,2,0.2,14,1.4,155,15.3,243,24,396,39.1,2500,246.6,242,23.9,10,1,5.6
Massachusetts,Canton,22054,0,0,3,1.4,3,1.4,48,21.8,66,29.9,218,98.8,17,7.7,3,1.4,7.2
Massachusetts,Carlisle,4900,0,0,1,2,0,0,1,2,10,20.4,5,10.2,0,0,0,0,5.6
Massachusetts,Carver,11592,0,0,1,0.9,3,2.6,16,13.8,30,25.9,62,53.5,8,6.9,3,2.6,8.8
Massachusetts,Charlemont,1368,0,0,0,0,0,0,0,0,3,21.9,7,51.2,0,0,0,0,6.6
