City,OtherName,Country,Latitude,Longitude,Certainty,year,pop
Eridu,,Iraq,30.815837900,45.996070310,1,-3700,6000
Eridu,,Iraq,30.815837900,45.996070310,1,-3500,10000
Larak,Kesh,Iraq,32.312737510,45.660997990,1,-3500,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-3500,14000
Anshan,,Iran,30.012019580,52.408576580,1,-3300,10000
Eridu,,Iraq,30.815837900,45.996070310,1,-3300,10000
Larak,Kesh,Iraq,32.312737510,45.660997990,1,-3300,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-3300,40000
Anshan,,Iran,30.012019580,52.408576580,1,-3000,10000
Eridu,,Iraq,30.815837900,45.996070310,1,-3000,10000
Larak,Kesh,Iraq,32.312737510,45.660997990,1,-3000,10000
Nagar,Tell Brak,Syria,36.667392310,41.058653930,1,-3000,20000
Nippur,,Iraq,32.126938580,45.230785340,1,-3000,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-3000,40000
Adab,,Iraq,31.947008070,45.968421340,1,-2800,10000
Anshan,,Iran,30.012019580,52.408576580,1,-2800,10000
Kish,Qish,Iraq,32.552179890,44.585642500,1,-2800,30000
Larak,Kesh,Iraq,32.312737510,45.660997990,1,-2800,40000
Larsa,,Iraq,31.283975350,45.853046530,1,-2800,16000
Mari,,Syria,34.549628720,40.889258330,1,-2800,10000
Nagar,Tell Brak,Syria,36.667392310,41.058653930,1,-2800,20000
Nippur,,Iraq,32.126938580,45.230785340,1,-2800,10000
Shuruppak,,Iraq,31.777362780,45.509761150,1,-2800,30000
Umma,,Sumer,31.621104800,45.933445870,1,-2800,20000
Ur,,Iraq,30.962659000,46.103210000,1,-2800,12000
Urkesh,Urkiesh_ Urkish_ Tell Mozan,Syria,37.056944000,40.997222000,3,-2800,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-2800,80000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-2800,10000
Adab,,Iraq,31.947008070,45.968421340,1,-2500,20000
Akshak,,Iraq,33.947201420,44.244717190,3,-2500,10000
Anshan,,Iran,30.012019580,52.408576580,1,-2500,10000
Ebla,,Syria,35.798397540,36.798728120,1,-2500,30000
Harappa,,Pakistan,30.629836460,72.866145610,1,-2500,15000
Kish,Qish,Iraq,32.552179890,44.585642500,1,-2500,20000
Lagash,,Iraq,31.414803160,46.409815910,1,-2500,60000
Larak,Kesh,Iraq,32.312737510,45.660997990,1,-2500,10000
Larsa,,Iraq,31.283975350,45.853046530,1,-2500,10000
Mari,,Syria,34.549628720,40.889258330,1,-2500,50000
