año,mes,día,día_semana,nacimientos,fecha
2000,1,1,sab,9083,2000-01-01
2000,1,2,dom,8006,2000-01-02
2000,1,3,lun,11363,2000-01-03
2000,1,4,mar,13032,2000-01-04
2000,1,5,mier,12558,2000-01-05
2000,1,6,jue,12466,2000-01-06
2000,1,7,vie,12516,2000-01-07
2000,1,8,sab,8934,2000-01-08
2000,1,9,dom,7949,2000-01-09
2000,1,10,lun,11668,2000-01-10
2000,1,11,mar,12611,2000-01-11
2000,1,12,mier,12398,2000-01-12
2000,1,13,jue,11815,2000-01-13
2000,1,14,vie,12180,2000-01-14
2000,1,15,sab,8525,2000-01-15
2000,1,16,dom,7657,2000-01-16
2000,1,17,lun,10824,2000-01-17
2000,1,18,mar,12350,2000-01-18
2000,1,19,mier,12405,2000-01-19
2000,1,20,jue,12506,2000-01-20
2000,1,21,vie,11953,2000-01-21
2000,1,22,sab,8855,2000-01-22
2000,1,23,dom,7856,2000-01-23
2000,1,24,lun,11449,2000-01-24
2000,1,25,mar,12593,2000-01-25
2000,1,26,mier,12143,2000-01-26
2000,1,27,jue,12408,2000-01-27
2000,1,28,vie,11934,2000-01-28
2000,1,29,sab,8805,2000-01-29
2000,1,30,dom,7764,2000-01-30
2000,1,31,lun,11133,2000-01-31
2000,2,1,mar,12614,2000-02-01
2000,2,2,mier,12465,2000-02-02
2000,2,3,jue,12062,2000-02-03
2000,2,4,vie,12035,2000-02-04
2000,2,5,sab,8624,2000-02-05
2000,2,6,dom,7862,2000-02-06
2000,2,7,lun,11630,2000-02-07
2000,2,8,mar,12879,2000-02-08
2000,2,9,mier,12315,2000-02-09
2000,2,10,jue,12612,2000-02-10
2000,2,11,vie,12411,2000-02-11
2000,2,12,sab,8836,2000-02-12
2000,2,13,dom,7933,2000-02-13
2000,2,14,lun,12152,2000-02-14
2000,2,15,mar,13017,2000-02-15
2000,2,16,mier,12504,2000-02-16
2000,2,17,jue,12520,2000-02-17
2000,2,18,vie,12406,2000-02-18
2000,2,19,sab,8861,2000-02-19
2000,2,20,dom,7943,2000-02-20
2000,2,21,lun,10610,2000-02-21
2000,2,22,mar,12664,2000-02-22
2000,2,23,mier,12252,2000-02-23
2000,2,24,jue,12423,2000-02-24
2000,2,25,vie,12204,2000-02-25
2000,2,26,sab,9026,2000-02-26
2000,2,27,dom,7836,2000-02-27
2000,2,28,lun,11455,2000-02-28
2000,2,29,mar,11895,2000-02-29
2000,3,1,mier,12672,2000-03-01
2000,3,2,jue,12524,2000-03-02
2000,3,3,vie,12390,2000-03-03
2000,3,4,sab,9054,2000-03-04
2000,3,5,dom,7734,2000-03-05
2000,3,6,lun,11375,2000-03-06
2000,3,7,mar,12420,2000-03-07
2000,3,8,mier,12338,2000-03-08
2000,3,9,jue,12615,2000-03-09
2000,3,10,vie,12152,2000-03-10
2000,3,11,sab,8822,2000-03-11
2000,3,12,dom,7937,2000-03-12
2000,3,13,lun,11157,2000-03-13
2000,3,14,mar,12773,2000-03-14
2000,3,15,mier,12428,2000-03-15
2000,3,16,jue,12431,2000-03-16
2000,3,17,vie,12385,2000-03-17
2000,3,18,sab,8677,2000-03-18
2000,3,19,dom,7782,2000-03-19
2000,3,20,lun,11595,2000-03-20
2000,3,21,mar,12689,2000-03-21
2000,3,22,mier,12272,2000-03-22
2000,3,23,jue,12396,2000-03-23
2000,3,24,vie,12327,2000-03-24
2000,3,25,sab,9155,2000-03-25
2000,3,26,dom,7815,2000-03-26
2000,3,27,lun,11291,2000-03-27
2000,3,28,mar,12650,2000-03-28
2000,3,29,mier,12077,2000-03-29
2000,3,30,jue,12071,2000-03-30
2000,3,31,vie,11820,2000-03-31
2000,4,1,sab,8388,2000-04-01
2000,4,2,dom,7540,2000-04-02
2000,4,3,lun,11397,2000-04-03
2000,4,4,mar,12797,2000-04-04
2000,4,5,mier,12209,2000-04-05
2000,4,6,jue,12192,2000-04-06
2000,4,7,vie,12213,2000-04-07
2000,4,8,sab,8743,2000-04-08
2000,4,9,dom,7759,2000-04-09
2000,4,10,lun,11333,2000-04-10
2000,4,11,mar,12850,2000-04-11
2000,4,12,mier,12545,2000-04-12
2000,4,13,jue,11907,2000-04-13
2000,4,14,vie,12053,2000-04-14
2000,4,15,sab,8887,2000-04-15
2000,4,16,dom,7859,2000-04-16
2000,4,17,lun,11322,2000-04-17
2000,4,18,mar,12783,2000-04-18
2000,4,19,mier,12562,2000-04-19
2000,4,20,jue,12301,2000-04-20
2000,4,21,vie,11257,2000-04-21
2000,4,22,sab,8367,2000-04-22
2000,4,23,dom,7483,2000-04-23
2000,4,24,lun,11309,2000-04-24
2000,4,25,mar,12488,2000-04-25
2000,4,26,mier,12245,2000-04-26
2000,4,27,jue,12235,2000-04-27
2000,4,28,vie,11989,2000-04-28
2000,4,29,sab,8703,2000-04-29
2000,4,30,dom,7641,2000-04-30
2000,5,1,lun,11621,2000-05-01
2000,5,2,mar,12934,2000-05-02
2000,5,3,mier,12259,2000-05-03
2000,5,4,jue,12434,2000-05-04
2000,5,5,vie,12539,2000-05-05
2000,5,6,sab,8814,2000-05-06
2000,5,7,dom,7797,2000-05-07
2000,5,8,lun,11604,2000-05-08
