"","SEX","AGE","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014"
"1",0,0,3944153,3944160,3951330,3963071,3926665,3945610,3948350
"2",0,1,3978070,3978090,3957888,3966510,3978006,3943077,3962123
"3",0,2,4096929,4096939,4090862,3971573,3979952,3992690,3957772
"4",0,3,4119040,4119051,4111920,4102501,3983049,3992425,4005190
"5",0,4,4063170,4063186,4077552,4122303,4112638,3994047,4003448
"6",0,5,4056858,4056872,4064653,4087713,4132210,4123408,4004858
"7",0,6,4066381,4066412,4073013,4074979,4097780,4143094,4134352
"8",0,7,4030579,4030594,4043047,4083240,4084964,4108615,4154000
"9",0,8,4046486,4046497,4025604,4053206,4093213,4095827,4119524
"10",0,9,4148353,4148369,4125415,4035769,4063193,4104133,4106832
"11",0,10,4172541,4172559,4187063,4135617,4045840,4074206,4115254
"12",0,11,4114415,4114443,4115511,4197472,4145919,4057128,4085636
"13",0,12,4106243,4106261,4113280,4126168,4208013,4157449,4068790
"14",0,13,4118013,4118055,4119666,4124244,4136951,4219776,4169346
"15",0,14,4165982,4166059,4145614,4131487,4135749,4149559,4232480
"16",0,15,4242820,4242946,4231003,4158977,4144326,4149781,4163723
"17",0,16,4316139,4316311,4313252,4247472,4174855,4161624,4167234
"18",0,17,4395295,4395475,4376368,4334957,4268503,4197758,4184706
"19",0,18,4500855,4501114,4491005,4402634,4360345,4296134,4225590
"20",0,19,4585234,4585665,4571385,4520683,4430960,4390087,4326394
"21",0,20,4519129,4519500,4568470,4600421,4550552,4459958,4418887
"22",0,21,4354294,4354571,4387914,4596145,4633178,4580949,4489746
"23",0,22,4264642,4264928,4286987,4415297,4628678,4666392,4612322
"24",0,23,4198571,4198852,4217221,4314751,4447266,4661403,4698584
"25",0,24,4249363,4249602,4243589,4244542,4346226,4479243,4692635
"26",0,25,4262350,4262575,4289424,4269956,4275655,4377385,4509594
"27",0,26,4152305,4152593,4160810,4313805,4299059,4305217,4406472
"28",0,27,4248869,4249120,4237010,4183474,4340038,4326704,4332545
"29",0,28,4215249,4215497,4247540,4258146,4207330,4364812,4351851
"30",0,29,4223076,4223293,4210285,4266588,4280142,4230048,4387476
"31",0,30,4285668,4285872,4304244,4227415,4285874,4300627,4250780
"32",0,31,3970218,3970415,4042507,4319572,4244611,4303694,4318706
"33",0,32,3986847,3987023,3967603,4055955,4335235,4261256,4320072
"34",0,33,3880150,3880318,3933570,3980018,4069723,4349928,4276113
"35",0,34,3839216,3839365,3822188,3944620,3992611,4082539,4362895
"36",0,35,3956434,3956604,3948318,3832502,3955942,4004456,4094039
"37",0,36,3802087,3802240,3830202,3957029,3842263,3965564,4014413
"38",0,37,3934445,3934593,3896776,3837814,3965664,3851119,3974190
"39",0,38,4121880,4122077,4080229,3903277,3845503,3973390,3859181
"40",0,39,4364796,4364947,4324460,4085771,3909207,3851949,3979827
"41",0,40,4383274,4383452,4387483,4327743,4090134,3913982,3856888
"42",0,41,4114985,4115145,4163470,4388941,4330257,4093483,3917413
"43",0,42,4076104,4076277,4082733,4164004,4390026,4331851,4095929
"44",0,43,4105105,4105267,4093841,4082479,4164073,4389840,4332491
"45",0,44,4211496,4211676,4178501,4092604,4081719,4163387,4388762
