State	Participation	Reading	Math	Writing	Total	New SAT
Alabama	6	557	551	543	1651	1190
Alaska	52	485	479	460	1424	1040
Arizona	34	528	532	505	1565	1140
Arkansas	4	570	569	553	1692	1210
California	60	491	500	485	1476	1080
Colorado	12	587	589	571	1747	1250
Connecticut	89	500	500	497	1497	1090
Delaware	100	458	453	440	1351	1000
District of Columbia	100	433	433	419	1285	950
Florida	74	481	475	462	1418	1040
Georgia	77	493	490	476	1459	1070
Hawaii	61	491	511	476	1478	1080
Idaho	100	465	453	446	1364	1000
Illinois	4	605	622	592	1819	1300
Indiana	71	496	499	477	1472	1070
Iowa	3	602	611	572	1785	1280
Kansas	5	594	604	571	1769	1270
Kentucky	4	604	599	586	1789	1280
Louisiana	5	584	577	571	1732	1240
Maine	96	486	485	472	1443	1050
Maryland	79	490	490	476	1456	1070
Massachusetts	86	517	530	506	1553	1120
Michigan	4	594	608	581	1783	1270
Minnesota	5	607	620	588	1815	1300
Mississippi	3	595	584	585	1764	1260
Missouri	4	605	608	589	1802	1290
Montana	15	565	557	539	1661	1200
Nebraska	4	590	595	573	1758	1260
Nevada	50	511	509	488	1508	1100
New Hampshire	70	527	531	510	1568	1140
New Jersey	81	495	514	492	1501	1090
New Mexico	12	553	545	525	1623	1170
New York	75	489	501	477	1467	1070
North Carolina	63	502	508	475	1485	1090
North Dakota	2	585	594	560	1739	1250
Ohio	14	556	563	534	1653	1190
Oklahoma	4	582	573	553	1708	1230
Oregon	47	525	520	500	1545	1120
Pennsylvania	71	500	506	481	1487	1090
Rhode Island	73	490	491	480	1461	1070
South Carolina	65	494	493	471	1458	1060
South Dakota	3	586	581	558	1725	1240
Tennessee	7	586	582	571	1739	1250
Texas	64	466	478	449	1393	1020
Utah	5	579	579	558	1716	1230
Vermont	61	520	520	501	1541	1120
Virginia	72	520	517	498	1535	1120
Washington	66	501	506	481	1488	1090
West Virginia	15	525	511	502	1538	1120
Wisconsin	4	605	618	588	1811	1290
Wyoming	3	603	600	587	1790	1280
